Categorie;Leverancier;Land;Website;Voorbeeldproduct;Inhoud;Indicatieve inkoop excl;Indicatieve salonprijs excl;Marge %;Bol geschikt;Opmerking;Marktbron
Kleur;Alfaparf Milano;Italie;https://www.alfaparfmilanopro.com/;Evolution of the Color;60 ml;4,80;11,50;58;nee;Sterk merkimago, alternatief voor Koleston;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Echosline;Italie;https://www.echosline.it/;Vegan kleurlijn;100 ml;3,30;8,90;63;deels;Vegan en eco-positionering;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Elgon;Italie;https://www.elgon.it/;Moda&Styling kleur;100 ml;3,50;9,20;62;nee;Technisch sterk in blondwerk;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Fanola;Italie;https://fanola.hair/;No Yellow Shampoo;350 ml;3,50;8,95;61;ja;"Sterkste consumentenpull van de kleurlijst; ook geschikt voor Bol";https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Fanola;Italie;https://fanola.hair/collections/no-yellow-professional;Kleurcreme;100 ml;3,20;8,50;62;nee;Volumekleur, scherpe inkoop;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Farmavita;Italie;https://www.farmavita.it/;Life Color Plus;100 ml;3,10;8,50;64;nee;Lage minimumafname, doet ook private label;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Kaaral;Italie;https://www.kaaral.com/;Baco kleurcreme;100 ml;3,40;9,20;63;nee;Doet ook contractproductie voor private label;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Lisap Milano;Italie;https://www.lisap.com/;LK kleurcreme;100 ml;3,60;9,50;62;nee;Breed, gevestigd;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Selective Professional;Italie;https://www.selectiveprofessional.com/;ColorEvo;100 ml;3,60;9,50;62;nee;Weinig aanwezig in de Benelux;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Kleur;Vitality's;Italie;https://www.vitalitys.it/;Zero ammoniakvrije kleur;100 ml;4,20;10,90;61;deels;Sluit aan op clean-trend;https://www.mordorintelligence.com/industry-reports/europe-hair-care-market-industry
Scalp en bond;Cutrin;Finland;https://www.cutrin.fi/;Bio+ hoofdhuidserum;100 ml;7,50;17,50;57;deels;Sterk in gevoelige hoofdhuid;https://www.coherentmarketinsights.com/market-insight/scalp-care-market-5132
